release_date,budget,revenue_worldwide,runtime,genres,cast_popularity_mean,cast_popularity_max,director_popularity,original_language,imdb_rating,imdb_votes,mpaa_rating,domestic_box_office,rotten_tomatoes_score,metacritic_score,season
2015-06-24,35000000.0,83977925.5,106,"['Drama', 'Romance']",2.209833333333333,3.8348,0.36910000000000004,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2012-01-19,79000000.0,355692760.0,94,"['Adventure', 'Action', 'Science Fiction']",6.036433333333334,7.908,0.45330000000000004,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2017-01-13,85000000.0,346118277.0,107,"['Action', 'Adventure', 'Crime']",8.346566666666666,11.4381,0.5596,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2010-07-09,3500000.0,34705850.0,106,"['Comedy', 'Drama']",4.197166666666667,6.3219,0.21630000000000002,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2009-12-21,75000000.0,443140005.0,89,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']",2.257566666666667,2.4706,0.6367,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2013-10-25,35000000.0,83977925.5,102,['Comedy'],0.313433333333333,0.4268,0.22590000000000002,pt,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2007-12-21,35000000.0,83977925.5,6,"['Animation', 'Comedy']",0.841,0.974,0.272,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2014-12-11,35000000.0,83977925.5,102,['Comedy'],0.49243333333333306,0.9693,0.9693,it,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2013-03-27,130000000.0,371900000.0,110,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",4.45,6.0799,0.9196000000000001,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2014-12-11,35000000.0,83977925.5,99,['Comedy'],0.3544,0.42210000000000003,0.37970000000000004,it,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2014-08-07,95000000.0,214657577.0,126,"['Action', 'Adventure', 'Thriller']",9.970233333333333,16.3832,0.2442,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2010-04-16,4500000.0,744816.0,97,"['Comedy', 'Drama']",2.030566666666666,2.5277000000000003,0.4348,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2011-10-19,5000000.0,207039844.0,83,"['Horror', 'Mystery']",0.7827000000000001,1.4111,0.4727,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2014-11-05,35000000.0,83977925.5,23,"['Documentary', 'TV Movie']",3.8496,6.6083,0.0536,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2016-11-10,40000000.0,30930984.0,113,"['Drama', 'War']",3.8280000000000003,6.0446,2.5193,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2021-09-30,110000000.0,506863592.0,97,"['Science Fiction', 'Action', 'Adventure']",5.7105,8.5475,3.7792,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2018-07-27,35000000.0,84168923.0,132,"['Action', 'Fantasy', 'Adventure', 'Mystery']",1.964233333333333,2.5061,1.8250000000000002,zh,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2010-04-30,35000000.0,115665418.0,95,"['Horror', 'Mystery', 'Thriller']",2.184799999999999,2.3985,0.1592,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2012-12-13,35000000.0,83977925.5,104,['Comedy'],0.389899999999999,0.4166,0.37970000000000004,it,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2001-03-03,35000000.0,83977925.5,60,"['Action', 'Animation', 'Adventure']",2.1832,2.5183,0.8406,ja,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2006-04-11,8000000.0,1361.0,93,"['Action', 'Crime', 'Thriller', 'Drama']",4.205233333333333,6.5802,0.6712,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2007-11-29,35000000.0,83977925.5,85,"['Fantasy', 'Animation', 'Family']",0.43566666666666604,0.5326000000000001,0.2051,it,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2008-10-17,3000000.0,156941.0,94,"['Horror', 'Thriller']",1.479133333333333,3.1421,0.5747,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2018-01-18,30000000.0,80509622.0,140,"['Crime', 'Thriller', 'Action']",4.3064,8.3692,0.5607,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2005-09-10,12000000.0,84967.0,92,"['Drama', 'Comedy', 'Romance']",3.3195333333333332,4.3768,0.43210000000000004,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2019-05-25,24000000.0,83977925.5,97,"['Action', 'Comedy', 'Mystery']",3.794566666666666,4.691,0.4922,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2012-08-01,35000000.0,83977925.5,92,"['Adventure', 'Animation', 'Family']",0.40480000000000005,0.5358,0.37460000000000004,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2010-03-26,28000000.0,96188903.0,118,"['Action', 'Crime']",6.8,7.4676,1.3863,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2023-01-16,35000000.0,159959.0,130,['Action'],3.817499999999999,9.4439,9.4439,cn,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2022-09-30,6500000.0,492000.0,125,"['Adventure', 'Fantasy', 'Music', 'Family']",1.8039333333333332,2.7112,0.0562,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2013-08-09,22000000.0,19799759.0,90,"['Animation', 'Adventure']",3.691866666666666,5.1414,0.0567,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2016-11-01,12156348.0,8750678.0,98,"['Comedy', 'War', 'Adventure']",0.3165,0.546,0.162,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2011-03-11,35000000.0,10.0,98,"['Comedy', 'Drama']",4.010966666666667,4.0662,0.251,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2023-12-08,10000000.0,604830.0,101,"['Drama', 'Mystery', 'Thriller']",2.4074,3.4682,0.234,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2024-11-29,35000000.0,2265661.0,114,"['Romance', 'Drama']",2.3566000000000003,5.301,0.2656,es,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2020-01-22,35000000.0,83977925.5,89,"['Drama', 'Romance']",0.7051333333333331,0.8622000000000001,0.36460000000000004,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2004-05-03,160000000.0,300257475.0,132,"['Horror', 'Adventure', 'Action']",4.736433333333333,7.9886,0.6564,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2012-12-14,15000000.0,5100000.0,95,"['Thriller', 'Comedy', 'Action', 'Crime']",3.243133333333333,4.1841,2.132,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2011-12-07,145000000.0,694713380.0,133,"['Action', 'Thriller', 'Adventure']",7.4264,14.2865,1.4045,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2019-09-18,5740000.0,9923127.0,121,"['Drama', 'Romance', 'History']",0.9758999999999991,1.8028,0.46480000000000005,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2009-05-13,35000000.0,83977925.5,73,"['Fantasy', 'Animation', 'Action', 'Science Fiction']",0.13416666666666602,0.2741,0.2187,ru,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2015-04-16,25000000.0,65663276.0,112,"['Romance', 'Fantasy', 'Drama']",3.880566666666666,5.2402,0.23900000000000002,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2009-03-24,7500000.0,83977925.5,93,"['Comedy', 'Family', 'Adventure', 'Crime']",0.9487000000000001,1.9300000000000002,0.48910000000000003,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2023-11-29,35000000.0,83977925.5,117,"['Comedy', 'Fantasy', 'Family']",2.8535,4.9304,0.3874,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2016-04-29,2834300.0,83977925.5,94,['Comedy'],0.891833333333333,1.5108000000000001,0.6826,es,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2008-11-19,25000000.0,15000000.0,133,"['Action', 'Thriller', 'Crime', 'Drama']",2.0892,3.8348,0.36910000000000004,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
